Exercise Name,Split Category - Push / Pull / Legs,Split Category - Upper / Lower,Split Category - Bro Split,Plane of Motion,Planar movement,Movement Category,Equipment Type / Area,Body Position,Bilateral / Unilateral,Simultaneous / Alternating,Grip / Attachment Type,Weight Type,Primary Muscle Group,Additional Primary Muscle Group
Plank,Legs,Lower,Legs,Sagittal,Flexion,Anti-extension,Free Area,Prone,Bilateral,Simultaneous,No Grip,Bodyweight,Abs,
Ab Wheel,Legs,Lower,Legs,Sagittal,Flexion,Anti-extension,Free Area,Prone,Bilateral,Simultaneous,Pronated,Bodyweight,Abs,
DB Bicep Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Free Area,Standing,Unilateral,Alternating,Mix,Dumbbell,Biceps,
EZ Bar Bicep Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Free Area,Standing,Bilateral,Simultaneous,Supinated,Barbell,Biceps,
DB Incline Bicep Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Bench,Incline,Unilateral,Alternating,Supinated,Dumbbell,Biceps,
Bayesian Cable Bicep Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Machine - Pin-loaded,Standing,Bilateral,Simultaneous,Supinated,Stack,Biceps,
EZ Bar Preacher Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Bench,Seated,Bilateral,Simultaneous,Supinated,Barbell,Biceps,
Machine Preacher Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,Supinated,Stack,Biceps,
Cable Bicep Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Machine - Pin-loaded,Standing,Bilateral,Simultaneous,Supinated,Stack,Biceps,
DB Hammer Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Free Area,Standing,Bilateral,Simultaneous,Neutral,Dumbbell,Biceps,
Concentration Curl,Pull,Upper,Arms,Sagittal,Flexion,Bicep Curl,Bench,Seated,Unilateral,Alternating,Supinated,Dumbbell,Biceps,
Calf Raise on Leg Press,Legs,Lower,Legs,Sagittal,Extension,Calf Extension,Machine - Pin-loaded,Seated,Bilateral,Simultaneous,No Grip,Plate,Calves,
Single-leg Calf Raise on Leg Press,Legs,Lower,Legs,Sagittal,Extension,Calf Extension,Machine - Pin-loaded,Seated,Unilateral,Alternating,No Grip,Plate,Calves,
Seated Calf Raise,Legs,Lower,Legs,Sagittal,Extension,Calf Extension,Machine - Plate-loaded,Seated,Bilateral,Simultaneous,No Grip,Plate,Calves,
Standing Calf Raise,Legs,Lower,Legs,Sagittal,Extension,Calf Extension,Machine - Pin-loaded,Standing,Bilateral,Simultaneous,No Grip,Stack,Calves,
